License Permit ID,Description,Expiration Date,DBA,LegalName,Premises County,Type,Class,Effective Date,Actual Address Of Premises,Additional Address Information,City,State Name,Zip Code,Original Issue Date,Last Issue Date,Legacy_Serial_Number,AKA Address,Georeference
0340-22-107405,Restaurant,8/31/2024,THE NEW AMSTERDAM THEATER,SWEET HOSPITALITY GROUP,New York,1,340,10/12/2023,214 W 42ND STREET,,NEW YORK,NY,10036,10/12/2023,10/12/2023,1027957,,POINT (-73.98771 40.75636)
0340-23-339149,Restaurant,8/31/2024,PUB 31,TJ NOONANS INC,Monroe,1,340,9/14/2023,7408 PITTSFORD PALMYRA RD,,FAIRPORT,New York,14450,9/14/2023,9/14/2023,3168762,,POINT (-77.41003 43.06449)
0340-22-106258,Restaurant,8/31/2024,PLATINUM DOLLS,725 EATERY CORP,New York,1,340,12/29/2023,725 7TH AVE,,NEW YORK,New York,10019,12/29/2023,12/29/2023,1310524,,POINT (-73.98398 40.76005)
0340-23-332340,Restaurant,8/31/2024,VIVA TAQUERIA,KBK TAQUERIA INC,Tompkins,1,340,3/1/2023,101 103 N AURORA ST,,ITHACA,New York,14850,3/1/2023,3/1/2023,3013597,,POINT (-76.49565 42.43977)
0340-20-201453,Restaurant,8/19/2024,99 RESTAURANT,99 WEST LLC,Albany,1,340,8/19/2024,107 WOLF RD,,COLONIE,New York,12205,8/19/2024,8/19/2024,2185192,,POINT (-73.80958 42.7162)
0340-20-201454,Restaurant,8/19/2024,99 RESTAURANT,99 WEST LLC,Saratoga,1,340,8/19/2024,306 CLIFTON PARK CENTER RD,,CLIFTON PARK,New York,12065,8/19/2024,8/19/2024,2185194,,POINT (-73.77909 42.86184)
0240-23-139819,Restaurant,7/31/2024,,BROOKLYN BLEND CORP,Kings,1,240,3/1/2023,601 LIVONIA AVE,UNIT 1A,BROOKLYN,New York,11207,3/1/2023,3/1/2023,1324766,,POINT (-73.89493 40.66461)
0240-22-300551,Restaurant,7/31/2024,,SOLAR CAFE LLC,Erie,1,240,7/18/2024,8 AFFINITY LN,,CHEEKTOWAGA,New York,14215,8/3/2022,8/3/2022,3155164,,POINT (-78.79885 42.93818)
0240-23-239821,Restaurant,7/31/2024,RED CHILI RESTAURANT,JE FUTURE INC,Broome,1,240,2/10/2023,4700 VESTAL PKW E,SUITE 7,VESTAL,New York,13850,2/10/2023,2/10/2023,2220238,,POINT (-75.95033 42.09268)
0340-23-137562,Restaurant,7/31/2024,JACK DOLANS IRISH PUB,J & A KEARNS CORP,Suffolk,1,340,6/27/2023,296 MAPLE AVE,,SMITHTOWN,New York,11787,6/27/2023,6/27/2023,1308207,,POINT (-73.19459 40.83802)
0340-22-314492,Restaurant,7/31/2024,JEREMIAH'S TAVERN,JEREMIAH'S GATES INC,Monroe,1,340,7/29/2024,2200 BUFFALO RD,T/GATES,GATES,New York,14624,6/2/2022,6/2/2022,3151700,,POINT (-77.71009 43.14757)
0340-22-107027,Restaurant,7/31/2024,MIDTOWN RT LLC AS MGR/ DBA PHD TERRACE,BROADWAY REGENCY RESTAURANT LLC & STRATEGIC DREAM,New York,1,340,11/15/2024,210 W 55TH STREET,BROADWAY & 7TH AVENUE,NEW YORK,New York,10019,11/15/2024,11/15/2024,1126813,,POINT (-73.98184 40.76458)
0340-23-336888,Restaurant,7/31/2024,,PHO WAVES INC,Erie,1,340,3/16/2023,220 DELAWARE AVE,STE 260,BUFFALO,New York,14202,3/16/2023,3/16/2023,3161139,,POINT (-78.87689 42.89031)
0340-23-138789,Restaurant,7/31/2024,YUKA'S LATIN FUSION,C & M INVESTMENT CORP,Westchester,1,340,3/7/2023,2011 ALBANY POST RD,,CROTON ON HUDSON,New York,10520,3/7/2023,3/7/2023,1295417,,POINT (-73.90879 41.23043)
0340-22-304715,Restaurant,7/31/2024,LAKE ERIE GRILLE,DNC SUPERIOR BALLARD GROUP LLC,Erie,1,340,11/27/2023,4200 GENESEE ST,BUFFALO NIAGARA INT'L AIRPORT,CHEEKTOWAGA,New York,14225,11/27/2023,11/27/2023,3156659,,POINT (-78.73084 42.93426)
0340-22-109200,Restaurant,7/31/2024,AVENUE W5 LLC,BRE PARK AVENUE TOWER OWNER LLC & CONVENE PARK,New York,1,340,6/6/2024,65 E 55TH ST,,NEW YORK,New York,10022,6/6/2024,6/6/2024,1309685,,POINT (-73.97235 40.7606)
0340-22-102808,Restaurant,7/31/2024,LIMONCITO CON RON,LA KUEVA BAR & GRILL CORP,Queens,1,340,3/28/2024,86-01 Northern Blvd,,Jackson Heights,New York,11372,3/28/2024,3/28/2024,1278876,,POINT (-73.88148 40.75596)
0340-23-138611,Restaurant,7/31/2024,BREAK BAR,"WRECKING CLUB LLC, THE",New York,1,340,4/12/2024,458 9TH AVE,,NEW YORK,New York,10018,4/12/2024,4/12/2024,1342197,,POINT (-73.99558 40.7544)
0340-22-308105,Restaurant,7/31/2024,,HIAWATHA LANDING INC,Tioga,1,340,7/30/2024,2350 MARSHLAND RD,,APALACHIN,New York,13732,7/30/2024,7/30/2024,3013330,,POINT (-76.16595 42.09348)
0340-23-331027,Restaurant,7/31/2024,THE OLD MILL INN,OLD MILL INN INC THE,Allegany,1,340,7/24/2023,1 DEPOT ST,,ALFRED STATION,New York,14803,7/24/2023,7/24/2023,3165176,,POINT (-77.75708 42.26741)
0340-22-114604,Restaurant,7/31/2024,KISSA KISSA,ST ENDS LLC,Kings,1,340,12/4/2024,667 FRANKLIN AVE,,BROOKLYN,New York,11238,12/4/2024,12/4/2024,1309402,,POINT (-73.95614 40.6757)
0340-23-336100,Restaurant,7/31/2024,LEONARD POST,LEONARD POST JR POST NO 6251 INC,Erie,1,340,3/29/2023,1822 COMO PARK BLVD,,LANCASTER,New York,14086,3/29/2023,3/29/2023,3170383,,POINT (-78.6839 42.89325)
0340-22-109023,Restaurant,7/31/2024,,ROCK ZO 33 34 LLC,New York,1,340,12/27/2023,1 ROCKEFELLER PLAZA,33 & 34TH FL,NEW YORK,New York,10020,12/27/2023,12/27/2023,1311443,,POINT (-73.97919 40.75816)
0340-22-108256,Restaurant,7/31/2024,,DELTA AIR LINES INC,Queens,1,340,5/7/2024,LAGUARDIA AIRPORT SKYWAY,"TERMINAL C, 4TH FL",FLUSHING,New York,11371,5/7/2024,5/7/2024,1340095,,
